City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),Area Type,State
Chandigarh,North Mullanpur,Residential,7200000,Semi-Furnished,3,2,Room-attached,0,0,0,1,1180.0,Carpet Area,Chandigarh
Chandigarh,North Mullanpur,Residential,29000000,Furnished,4,4,"Connected,Individual,Room-attached",0,0,0,4,3450.0,Built-up Area,Chandigarh
Chandigarh,KharaR-Banur Road,Residential,12200000,Unfurnished,4,3,Room-attached,0,1,1,0,2160.0,Built-up Area,Chandigarh
Chandigarh,Sector 5,Residential,1000000000,Semi-Furnished,6,3,"Connected,Individual,Room-attached",0,0,0,5,18000.0,Built-up Area,Chandigarh
Chandigarh,Vikas Nagar,Residential,17900000,Furnished,4,3,Room-attached,0,0,0,0,3510.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,8800000,Unfurnished,3,3,Room-attached,0,0,1,0,900.0,Plot Area,Chandigarh
Chandigarh,Bir Chhat,Residential,8500000,Semi-Furnished,3,3,Connected,0,0,0,2,1493.0,Saleable Area,Chandigarh
Chandigarh,KharaR-Banur Road,Residential,6875000,Unfurnished,2,3,Room-attached,0,1,1,0,1225.0,Built-up Area,Chandigarh
Chandigarh,Sector 17,Commercial,0,Semi-Furnished,0,0,No Balcony,0,0,0,7,35000.0,Built-up Area,Chandigarh
Chandigarh,Ambala Highway,Residential,5000000,Furnished,3,3,Room-attached,0,0,0,0,1715.0,Built-up Area,Chandigarh
Chandigarh,Bir Chhat,Residential,8505000,Semi-Furnished,3,3,Connected,0,0,0,2,1489.0,Saleable Area,Chandigarh
Chandigarh,Vikas Nagar,Residential,17900000,Furnished,4,3,Room-attached,0,0,0,0,3530.0,Built-up Area,Chandigarh
Chandigarh,Central Derabassi,Residential,36523609,Furnished,1,2,Individual,0,0,0,2,270.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,12500000,Semi-Furnished,3,3,"Connected,Individual,Room-attached",0,0,0,3,1580.0,Built-up Area,Chandigarh
Chandigarh,New Chandigarh,Commercial,0,Unfurnished,0,0,No Balcony,1,1,1,3,298.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,10000000,Unfurnished,3,3,Room-attached,0,0,0,0,1800.0,Plot Area,Chandigarh
Chandigarh,North Mullanpur,Residential,14500000,Unfurnished,3,3,Individual,0,0,0,4,1616.0,Built-up Area,Chandigarh
Chandigarh,Ambala Highway,Residential,5000000,Furnished,3,3,Room-attached,0,0,0,0,1785.0,Built-up Area,Chandigarh
Chandigarh,Sector 5,Residential,31100000,Unfurnished,3,3,Room-attached,0,1,0,0,9333.0,Plot Area,Chandigarh
Chandigarh,Ambala Highway,Residential,9200000,Semi-Furnished,4,4,"Connected,Room-attached",0,0,0,2,2555.0,Saleable Area,Chandigarh
Chandigarh,Chandigarh Airport,Residential,12000000,Semi-Furnished,2,2,Room-attached,0,0,0,2,900.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,17500000,Unfurnished,3,3,Room-attached,1,0,1,0,2700.0,Plot Area,Chandigarh
Chandigarh,North Mullanpur,Residential,9000000,Semi-Furnished,3,2,"Connected,Individual,Room-attached",0,0,0,3,1350.0,Built-up Area,Chandigarh
Chandigarh,South Mullanpur,Residential,18500000,Unfurnished,3,3,Room-attached,1,0,1,0,2070.0,Plot Area,Chandigarh
Chandigarh,North Mullanpur,Residential,9800000,Unfurnished,3,3,Room-attached,0,0,1,0,1440.0,Plot Area,Chandigarh
Chandigarh,North Mullanpur,Residential,5700000,Unfurnished,3,3,Room-attached,1,1,1,0,1150.0,Plot Area,Chandigarh
Chandigarh,South Mullanpur,Residential,20100000,Unfurnished,3,3,Room-attached,1,0,1,0,2250.0,Plot Area,Chandigarh
Chandigarh,Ambala Highway,Residential,1850000,Unfurnished,2,3,Room-attached,0,0,0,0,950.0,Built-up Area,Chandigarh
Chandigarh,South Mullanpur,Residential,18000000,Semi-Furnished,3,3,Connected,0,0,0,2,1900.0,Built-up Area,Chandigarh
Chandigarh,Sector 21,Residential,100000000,Semi-Furnished,6,3,"Connected,Individual,Room-attached",0,0,0,4,2200.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,8800000,Unfurnished,3,3,Room-attached,1,0,0,0,1035.0,Plot Area,Chandigarh
Chandigarh,North Mullanpur,Residential,19600000,Unfurnished,3,3,Room-attached,0,0,0,0,1800.0,Plot Area,Chandigarh
Chandigarh,North Mullanpur,Residential,23000000,Unfurnished,3,3,Room-attached,1,0,0,0,2700.0,Plot Area,Chandigarh
Chandigarh,New Chandigarh,Residential,21000000,Unfurnished,3,3,Room-attached,0,0,0,0,2700.0,Plot Area,Chandigarh
Chandigarh,KharaR-Banur Road,Residential,7909000,Furnished,2,3,Room-attached,0,0,0,0,1395.0,Built-up Area,Chandigarh
Chandigarh,Sector 38,Residential,32500000,Unfurnished,2,2,Connected,0,0,0,4,1125.0,Carpet Area,Chandigarh
Chandigarh,South Mullanpur,Residential,34500000,Furnished,5,6,"Connected,Room-attached",0,0,0,4,4370.0,Built-up Area,Chandigarh
Chandigarh,Mullanpur,Residential,34000000,Furnished,5,6,"Connected,Room-attached",0,0,0,4,4370.0,Built-up Area,Chandigarh
Chandigarh,Bir Chhat,Residential,8500000,Semi-Furnished,3,3,Connected,0,0,0,2,1491.0,Saleable Area,Chandigarh
Chandigarh,North Mullanpur,Residential,34000000,Furnished,5,6,"Connected,Room-attached",0,0,0,4,4370.0,Built-up Area,Chandigarh
Chandigarh,North Kharar,Residential,14200000,Unfurnished,3,3,Room-attached,0,0,0,0,3087.0,Plot Area,Chandigarh
Chandigarh,North Mullanpur,Residential,9000000,Semi-Furnished,3,2,Individual,0,0,0,4,1430.0,Built-up Area,Chandigarh
Chandigarh,Chandigarh Airport,Residential,24500000,Semi-Furnished,5,2,Connected,0,0,0,2,3235.0,Built-up Area,Chandigarh
Chandigarh,Mullanpur,Residential,34500000,Furnished,5,6,"Connected,Room-attached",0,0,0,4,4370.0,Built-up Area,Chandigarh
Chandigarh,South Mullanpur,Residential,20000000,Unfurnished,3,3,Room-attached,0,0,0,2,3150.0,Built-up Area,Chandigarh
Chandigarh,Sector 40,Residential,11000000,Unfurnished,2,2,Connected,0,0,0,3,700.0,Built-up Area,Chandigarh
Chandigarh,Central Kharar,Residential,1800000,Unfurnished,3,3,Room-attached,0,0,0,0,900.0,Plot Area,Chandigarh
Chandigarh,Ambala Highway,Residential,3000000,Furnished,1,1,Room-attached,0,0,0,2,475.0,Saleable Area,Chandigarh
Chandigarh,North Mullanpur,Residential,16500000,Unfurnished,6,4,"Connected,Individual,Room-attached",1,1,1,3,900.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,6500000,Unfurnished,3,3,Room-attached,1,1,1,0,1651.0,Saleable Area,Chandigarh
Chandigarh,Mohali Sector 85,Residential,4200000,Semi-Furnished,3,3,Connected,0,0,0,2,765.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,425000000,Unfurnished,6,3,Individual,0,0,0,3,4000.0,Built-up Area,Chandigarh
Chandigarh,Sector 20,Residential,15000000,Unfurnished,3,3,Room-attached,0,0,0,0,3078.0,Plot Area,Chandigarh
Chandigarh,North Mullanpur,Residential,14000000,Unfurnished,3,3,Room-attached,0,0,0,0,2142.0,Plot Area,Chandigarh
Chandigarh,North Mullanpur,Residential,66000000,Unfurnished,6,5,Room-attached,1,0,1,2,2853.0,Built-up Area,Chandigarh
Chandigarh,Sector 20,Residential,5500000,Semi-Furnished,3,3,Room-attached,0,0,0,2,1800.0,Built-up Area,Chandigarh
Chandigarh,Sector 44,Residential,8250000,Unfurnished,2,2,Connected,0,0,0,1,850.0,Built-up Area,Chandigarh
Chandigarh,Sector 49,Residential,22500000,Semi-Furnished,4,3,Connected,0,0,0,2,1850.0,Built-up Area,Chandigarh
Chandigarh,Manimajra,Residential,35000000,Unfurnished,5,4,"Connected,Individual,Room-attached",0,0,0,3,1521.0,Built-up Area,Chandigarh
Chandigarh,Sector 63,Residential,6500000,Furnished,1,2,Connected,0,0,0,1,765.0,Built-up Area,Chandigarh
Chandigarh,New Chandigarh,Residential,29000000,Unfurnished,3,3,"Connected,Individual,Room-attached",1,1,1,4,1800.0,Built-up Area,Chandigarh
Chandigarh,Central Kharar,Residential,2600000,Semi-Furnished,2,2,Connected,0,0,0,2,675.0,Built-up Area,Chandigarh
Chandigarh,Sector 51,Residential,13500000,Semi-Furnished,2,2,Connected,0,0,0,2,1050.0,Built-up Area,Chandigarh
Chandigarh,North Kharar,Residential,2800000,Semi-Furnished,3,2,Connected,0,0,0,2,855.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,15000000,Unfurnished,5,3,Room-attached,0,0,0,2,900.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,9000000,Furnished,2,2,Room-attached,0,0,0,4,1430.0,Built-up Area,Chandigarh
Chandigarh,Jandpur,Residential,13500000,Unfurnished,5,3,Room-attached,0,0,0,2,1314.0,Built-up Area,Chandigarh
Chandigarh,Chandigarh Airport,Residential,24500000,Semi-Furnished,5,4,Room-attached,0,0,0,3,3232.0,Built-up Area,Chandigarh
Chandigarh,Bir Chhat,Residential,36523609,Semi-Furnished,3,3,Room-attached,0,0,0,1,1640.0,Saleable Area,Chandigarh
Chandigarh,North Mullanpur,Residential,7200000,Unfurnished,3,3,Room-attached,1,0,0,0,1134.0,Plot Area,Chandigarh
Chandigarh,North Mullanpur,Residential,36523609,Unfurnished,3,3,Room-attached,0,0,0,0,4500.0,Plot Area,Chandigarh
Chandigarh,North Mullanpur,Residential,14000000,Unfurnished,3,3,Room-attached,0,0,1,2,2250.0,Built-up Area,Chandigarh
Chandigarh,Chandigarh Airport,Residential,24500000,Semi-Furnished,5,4,Room-attached,0,0,0,3,3233.0,Built-up Area,Chandigarh
Chandigarh,North Kharar,Residential,13000000,Unfurnished,3,3,Room-attached,0,0,0,0,2142.0,Plot Area,Chandigarh
Chandigarh,North Mullanpur,Residential,18400000,Unfurnished,3,3,Room-attached,0,0,1,0,2763.0,Plot Area,Chandigarh
Chandigarh,North Mullanpur,Residential,15500000,Unfurnished,3,3,Room-attached,0,0,1,0,2997.0,Plot Area,Chandigarh
Chandigarh,North Mullanpur,Residential,24000000,Unfurnished,3,3,Room-attached,0,0,0,0,2709.0,Plot Area,Chandigarh
Chandigarh,Bir Chhat,Residential,8550000,Semi-Furnished,3,3,Connected,0,0,0,2,1491.0,Saleable Area,Chandigarh
Chandigarh,New Chandigarh,Residential,25500000,Furnished,5,4,Room-attached,0,0,0,3,3250.0,Built-up Area,Chandigarh
Chandigarh,New Chandigarh,Residential,12700000,Furnished,3,3,"Connected,Room-attached",0,0,0,4,2250.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,12500000,Semi-Furnished,3,3,"Connected,Individual,Room-attached",0,0,0,2,1820.0,Built-up Area,Chandigarh
Chandigarh,Bir Chhat,Residential,36523609,Semi-Furnished,3,3,Room-attached,0,0,0,1,1642.0,Saleable Area,Chandigarh
Chandigarh,North Mullanpur,Residential,12500000,Semi-Furnished,4,3,Room-attached,0,0,0,1,2140.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,12000000,Semi-Furnished,3,3,Room-attached,0,0,0,2,1680.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,12800000,Furnished,3,3,"Connected,Individual",0,0,0,4,2250.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,8500000,Unfurnished,3,2,Room-attached,0,0,1,2,1179.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,12600000,Semi-Furnished,3,2,Connected,0,0,0,3,1620.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,16000000,Unfurnished,3,3,Room-attached,0,0,0,0,2709.0,Plot Area,Chandigarh
Chandigarh,South Mullanpur,Residential,12800000,Furnished,3,3,"Connected,Room-attached",0,0,0,4,2250.0,Built-up Area,Chandigarh
Chandigarh,Mullanpur,Residential,12700000,Furnished,3,3,Room-attached,0,0,0,4,2250.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,36523609,Furnished,3,3,Connected,0,0,0,3,1840.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,12500000,Unfurnished,3,3,Room-attached,0,0,1,0,1350.0,Plot Area,Chandigarh
Chandigarh,Bir Chhat,Residential,7999000,Furnished,3,3,Room-attached,0,0,0,1,1355.0,Saleable Area,Chandigarh
Chandigarh,South Mullanpur,Residential,12500000,Unfurnished,3,3,Individual,0,0,1,2,1810.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,16000000,Unfurnished,3,3,Room-attached,0,0,0,0,2754.0,Plot Area,Chandigarh
Chandigarh,Chandigarh Airport,Residential,23900000,Semi-Furnished,5,4,Room-attached,0,0,0,3,3223.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,13600000,Unfurnished,3,3,Room-attached,0,0,0,0,3078.0,Plot Area,Chandigarh
Chandigarh,North Mullanpur,Residential,32500000,Unfurnished,3,3,Room-attached,0,0,0,0,1890.0,Plot Area,Chandigarh
Chandigarh,Sector 20,Residential,9650000,Furnished,3,3,Connected,0,0,0,1,1760.0,Built-up Area,Chandigarh
Chandigarh,Ambala Highway,Commercial,0,Furnished,0,0,Connected,0,0,0,12,526.0,Saleable Area,Chandigarh
Chandigarh,Sector 67,Residential,32400000,Semi-Furnished,3,3,Room-attached,0,0,0,2,2950.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,15000000,Unfurnished,3,3,Room-attached,0,0,1,0,2115.0,Plot Area,Chandigarh
Chandigarh,North Mullanpur,Residential,14000000,Semi-Furnished,3,4,"Connected,Individual,Room-attached",0,0,0,1,1725.0,Built-up Area,Chandigarh
Chandigarh,South Mullanpur,Residential,12500000,Unfurnished,3,3,Room-attached,0,0,0,2,1887.0,Carpet Area,Chandigarh
Chandigarh,Central Mohali,Commercial,0,Semi-Furnished,0,0,No Balcony,0,0,0,0,300.0,Built-up Area,Chandigarh
Chandigarh,Pir Machalla,Residential,6500000,Semi-Furnished,3,3,Connected,0,0,0,2,1782.0,Carpet Area,Chandigarh
Chandigarh,Bir Chhat,Residential,17400000,Semi-Furnished,3,3,"Connected,Individual,Room-attached",0,0,0,3,2150.0,Saleable Area,Chandigarh
Chandigarh,Mohali Sector 117,Commercial,0,Semi-Furnished,0,0,No Balcony,0,0,0,3,100.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,45000000,Unfurnished,3,3,Room-attached,0,0,1,0,4500.0,Plot Area,Chandigarh
Chandigarh,Bir Chhat,Residential,17400000,Unfurnished,3,3,"Connected,Room-attached",0,1,1,2,2150.0,Saleable Area,Chandigarh
Chandigarh,North Mullanpur,Residential,13000000,Semi-Furnished,3,4,Connected,0,0,0,3,2060.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,20000000,Semi-Furnished,4,4,Individual,0,0,0,3,2760.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,18000000,Unfurnished,3,3,Room-attached,0,0,0,0,2250.0,Plot Area,Chandigarh
Chandigarh,KharaR-Banur Road,Residential,4500000,Semi-Furnished,3,3,Connected,0,0,0,2,1210.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Commercial,0,Unfurnished,0,0,No Balcony,0,0,1,2,900.0,Built-up Area,Chandigarh
Chandigarh,Bir Chhat,Residential,21400000,Unfurnished,3,4,"Connected,Room-attached",0,1,1,2,2675.0,Saleable Area,Chandigarh
Chandigarh,Saini Majra,Residential,10800000,Furnished,4,3,Room-attached,0,0,0,0,1500.0,Carpet Area,Chandigarh
Chandigarh,North Mullanpur,Residential,11500000,Furnished,3,3,Connected,0,0,0,2,1640.0,Built-up Area,Chandigarh
