City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),Area Type,State
Bangalore,Whitefield,Apartment,13300000.0,Unfurnished,2,3,"Connected,Individual,Room-attached",0,0,0,0,1576.0,Area,Karnatka
Bangalore,Kadugodi,Apartment,8000000.0,Unfurnished,2,2,Connected,0,0,0,0,1428.0,Area,Karnatka
Bangalore,Kanakapura Road,Apartment,12400000.0,Unfurnished,3,3,Individual,0,0,0,0,2015.0,Area,Karnatka
Bangalore,Kanakapura Road,Apartment,8000000.0,Unfurnished,2,2,"Individual,Room-attached",0,0,0,0,900.0,Area,Karnatka
Bangalore,Budigere,Apartment,13500000.0,Unfurnished,2,2,Individual,0,0,0,0,1200.0,Area,Karnatka
Bangalore,Basavanagudi,Apartment,85000000.0,Unfurnished,4,4,Connected,0,0,0,0,4034.0,Area,Karnatka
Bangalore,Whitefield,Apartment,33400000.0,Unfurnished,4,4,"Connected,Individual,Room-attached",1,1,1,0,2533.0,Area,Karnatka
Bangalore,Mahadevpura,Villa,60000000.0,Unfurnished,4,4,Individual,0,0,0,0,3300.0,Area,Karnatka
Bangalore,Koramangala,Apartment,19900000.0,Unfurnished,3,3,"Connected,Room-attached",0,0,0,0,2000.0,Area,Karnatka
Bangalore,Vasanth Nagar,Apartment,60000000.0,Unfurnished,3,3,Connected,0,0,0,0,3020.0,Area,Karnatka
Bangalore,Hennur,Apartment,11000000.0,Unfurnished,2,2,Individual,1,1,1,0,970.0,Area,Karnatka
Bangalore,Koramangala,Apartment,46400000.0,Unfurnished,4,4,Individual,0,0,0,0,3142.0,Area,Karnatka
Bangalore,Bannerghatta Road,Apartment,5800000.0,Unfurnished,2,2,Individual,0,0,0,0,1120.0,Area,Karnatka
Bangalore,Devanahalli,Villa,76000000.0,Unfurnished,4,4,Individual,1,1,0,0,4910.0,Area,Karnatka
Bangalore,Bannerghatta Road,Villa,40000000.0,Unfurnished,2,4,Room-attached,1,1,1,0,4104.0,Area,Karnatka
Bangalore,Thanisandra Main Road,Apartment,9500000.0,Unfurnished,2,2,Connected,0,0,0,0,1056.0,Area,Karnatka
Bangalore,Whitefield,Apartment,33500000.0,Unfurnished,4,4,Connected,0,0,0,0,2309.0,Area,Karnatka
Bangalore,Kr Puram,Apartment,11500000.0,Unfurnished,2,2,Connected,0,1,1,0,1110.0,Area,Karnatka
Bangalore,Hennur Road,Apartment,17500000.0,Unfurnished,2,2,Individual,1,1,0,0,1420.0,Area,Karnatka
Bangalore,Huttanahalli,Villa,46000000.0,Unfurnished,4,4,Individual,0,0,1,0,3150.0,Area,Karnatka
Bangalore,Panathur,Apartment,24000000.0,Unfurnished,3,2,Individual,0,1,1,0,1650.0,Area,Karnatka
Bangalore,Sarjapur Road,Apartment,11000000.0,Unfurnished,2,2,Connected,0,0,0,0,987.0,Area,Karnatka
Bangalore,Panathur,Apartment,23100000.0,Unfurnished,3,2,Individual,0,1,1,0,1500.0,Area,Karnatka
Bangalore,Arekere,Apartment,20500000.0,Unfurnished,3,2,Connected,0,0,0,0,1675.0,Area,Karnatka
Bangalore,Jp Nagar,Apartment,8000000.0,Unfurnished,3,2,"Connected,Individual",0,0,0,0,1425.0,Area,Karnatka
Bangalore,Kannamangala,Villa,70000000.0,Unfurnished,4,4,Individual,0,0,0,0,3745.0,Area,Karnatka
Bangalore,Kalyan Nagar,Independent House,62500000.0,Unfurnished,4,3,Individual,0,0,0,0,2400.0,Area,Karnatka
Bangalore,Rajanukunte,Apartment,8500000.0,Unfurnished,3,3,Connected,0,0,0,0,1250.0,Area,Karnatka
Bangalore,Jayanagar,Builder Floor,35000000.0,Unfurnished,3,2,Connected,0,0,0,0,2397.0,Area,Karnatka
Bangalore,Jakkuru,Apartment,14700000.0,Unfurnished,3,2,Individual,0,0,0,0,2250.0,Area,Karnatka
Bangalore,Thanisandra Main Road,Apartment,34100000.0,Unfurnished,3,3,"Connected,Individual,Room-attached",1,1,1,0,1680.0,Area,Karnatka
Bangalore,Sannatammanahalli,Apartment,11000000.0,Unfurnished,2,2,Connected,1,1,1,0,1240.0,Area,Karnatka
Bangalore,Whitefield,Apartment,12700000.0,Unfurnished,2,2,"Connected,Individual,Room-attached",1,1,1,0,1067.0,Area,Karnatka
Bangalore,Yeshwanthpur,Apartment,37500000.0,Unfurnished,3,3,"Connected,Individual,Room-attached",1,1,1,0,2200.0,Area,Karnatka
Bangalore,Thanisandra Main Road,Apartment,25000000.0,Unfurnished,1,2,Individual,0,0,0,0,1177.0,Area,Karnatka
Bangalore,Hebbal,Apartment,55000000.0,Unfurnished,3,4,Individual,1,1,1,0,3270.0,Area,Karnatka
Bangalore,Electronic City Phase I,Apartment,20000000.0,Unfurnished,3,3,Connected,0,0,0,0,1714.0,Area,Karnatka
Bangalore,Jalahalli,Apartment,12200000.0,Unfurnished,2,2,"Connected,Individual,Room-attached",1,1,1,0,948.0,Area,Karnatka
Bangalore,Doddagubbi,Apartment,6400000.0,Unfurnished,3,2,Individual,0,0,1,0,1330.0,Area,Karnatka
Bangalore,Hennur Road,Apartment,21500000.0,Unfurnished,3,3,Connected,0,0,0,0,1668.0,Area,Karnatka
Bangalore,Doddagubbi,Apartment,6300000.0,Unfurnished,2,2,Individual,0,0,1,0,1350.0,Area,Karnatka
Bangalore,Banashankari 6th Stage,Apartment,17000000.0,Unfurnished,3,3,Connected,0,0,0,0,1543.0,Area,Karnatka
